name,author,rating,text,date
poo wenqi,,5,,2026-06-11T23:43:58.417Z
Rachel Tan,,5,,2026-06-04T00:17:37.810Z
Wej Chyi Ken,,5,"Too squeeze inside, sound proof also not very good. Difficult to chat with the persons who same table. The food is nice and service is good. Hope able upgrade the environment in future.",2026-05-30T12:08:21.083Z
hannahh,,4,the food is soo generous and the servers are so attentive but the venue is small and kinda claustrophobic 😀,2026-05-27T10:37:27.805Z
Link Er Tan,,5,,2026-04-30T14:24:34.885Z
Robin Lau,,2,"Food is not bad, but price is slightly higher. New place, environment is good. It was previously located in malim, i commented to them about their sushi rice bland flavour and they still serve the same flavour. Workers are all polite.

ADDED: Came since last time, waited one hour for my grilled squid and we finished all our dishes for 30 mins",2026-03-29T10:58:33.491Z
Yeanching,,5,"服务好 上菜快 生蚝价格微高
吃饭时间需要定位哦因为顾客太多了。",2026-03-28T11:12:22.638Z
Kai Chee Too,,5,A new Japanese restaurant at malim area.  Serve a lot of variety of japanese cuisine. Food are delicious and well presentation. Reasonable pricing.,2026-03-11T15:28:59.604Z
Aaron Lee,,5,Great services and good Japanese food here.,2026-03-02T15:09:46.815Z
Patrick Kse,,5,,2026-01-25T12:50:38.189Z
Lina Puah,,5,"Sushi San is another Japanese restaurant in the Malim area, and it’s a pleasant place for a relaxed Japanese-style meal. The moment we walked in, the staff were warm, friendly, and welcoming, which made the experience comfortable from the start. They offer a wide variety of Japanese dishes, including many individual set meals, which is great for solo diners or anyone who wants a complete meal without ordering too much.

What really stood out is their salad selection. They probably offer one of the widest ranges of salads among Japanese restaurants in Melaka. The portions are generous, and the salads are filling enough to be enjoyed as a light meal on their own. This is a nice option if you want something lighter or more refreshing.

I had already eaten a bit before dinner, so I didn’t order too many dishes. Still, everything arrived quickly, which I appreciated. Besides the usual green tea, they also serve genmaicha (roasted brown rice tea), which adds a nice Japanese touch.

The restaurant interior has a clean and cosy izakaya-style vibe, making it a comfortable place to hang out with friends or family. Overall, Sushi San offers a pleasant dining experience with good variety, fast service, and a friendly atmosphere. It’s definitely a nice addition to the Japanese food scene in Malim.",2026-01-18T04:23:24.531Z
KHOO LI JUAN,,5,不错～,2026-01-14T05:14:15.819Z
Suthida Weangklai,,5,,2026-01-04T09:41:12.450Z
Chai Yin Guey,,3,,2026-01-02T07:33:45.968Z
Jun Feng,,5,"Sushi San is an advanced japanese food restaurant just migrated to Kota Syahbandar. The food their serving are extremely good. Waitresses are very welcoming, attentive and patient in explaining to make sure you have the best dining experience!",2025-12-26T18:19:02.268Z
C C,,5,,2025-12-18T04:21:19.895Z
Simon Kuah,,3,,2025-12-08T15:48:12.641Z
希爾威思特,,5,菜单选择丰富，食物味道和服务都不错,2025-12-05T08:02:16.117Z
Ee Han Ong,,5,Nice food and service. With a nice birthday platter.,2025-11-23T11:43:15.281Z
Sky Teow,,4,Good environment and foods is overall good for all items I had orders .,2025-11-15T11:53:57.423Z
Sun Ng,,5,Nice food,2025-11-14T11:54:30.191Z
Fen Private,,1,Super irresponsible shop! Keep changing address and never update. Wasting ppl time.,2025-11-09T03:44:07.867Z
Grace Lim,,5,食物很好吃，服务也很好。,2025-10-26T10:18:54.185Z
Tong Mun Kit,,5,"Celebrated my father's birthday here. Fantastic experience, service were excellent.
Nice environment, friendly staff and delicious food.",2025-10-19T12:14:48.086Z
Jack Lim,,5,老闆娘非常親切也非常漂亮！食物也很好吃,2025-10-12T12:40:19.834Z
Jonathan Lee,,3,"Dined here as a big group of 10. The food, unquestionably, was of good variety, tasty, and of good value. However, the service left much to be desired. Our orders were mixed up, and we had to signal repeatedly for wasabi and pickled ginger. The surroundings weren't great too as it was quite loud in the shop and the lazy susan in the middle of the table made it not conducive to dine our teishoku sets. Overall, much space for improvement.",2025-10-11T13:59:59.437Z
Ng kar wai,,3,,2025-10-07T14:39:10.587Z
Zyong Tan,,5,Nice food and good service.,2025-10-04T13:10:53.225Z
yu ting Chin,,5,"Nice food, good service, celebrate birthday here",2025-10-01T12:30:22.712Z
cj7 tan,,5,环境优美 食物好吃,2025-09-26T13:48:23.934Z
AH JIA,,5,很棒的服务 食物也好吃🥰,2025-09-25T12:41:58.731Z
LimKoppi,,3,食物ok。主要是malim地点好。,2025-09-17T01:02:30.393Z
허태경,,5,분위기도 좋고 음식도 깔끔하고 맛있다.,2025-09-04T05:02:50.565Z
Jun Pang,,5,,2025-09-01T08:36:13.826Z
wu Veron,,5,,2025-08-29T12:08:19.530Z
steve chan,,4,东西是很好吃，不过很像有点不欢迎肥胖的人,2025-08-20T16:07:18.160Z
Sem0101,,3,,2025-08-11T03:22:10.391Z
Eason Loh,,5,"Had my kid’s birthday celebration here. We were surprise by the present from the restaurant. Fantastic experience, service were excellent.",2025-08-11T03:22:05.389Z
ryant,,4,Very friendly and polite staff.,2025-07-29T22:51:24.996Z
Sorna Rajakumaran,,5,,2025-07-25T05:48:59.316Z
